,Timestamp,Acc-x, Acc-y, Acc-z,Time
6352,1640237457078,-0.064677924,2.9236815,9.843021,2021:12:23:14:30:57.078
6353,1640237457105,-0.4539432,4.001048,10.446682,2021:12:23:14:30:57.105
6354,1640237457122,-0.03593218,3.8471386,8.989034,2021:12:23:14:30:57.122
6355,1640237457140,0.39166075,2.28349,11.206049,2021:12:23:14:30:57.140
6356,1640237457156,0.882135,3.702811,6.9331136,2021:12:23:14:30:57.156
6357,1640237457179,0.8917169,2.7500093,7.60265,2021:12:23:14:30:57.179
6358,1640237457197,0.9348355,3.3279185,9.310027,2021:12:23:14:30:57.197
6359,1640237457221,0.5988696,3.9866753,9.154322,2021:12:23:14:30:57.221
6360,1640237457239,0.45034996,4.198675,9.371112,2021:12:23:14:30:57.239
6361,1640237457257,0.26769474,3.4285285,8.003893,2021:12:23:14:30:57.257
6362,1640237457278,-0.121570535,3.8136017,10.970094,2021:12:23:14:30:57.278
6363,1640237457301,0.6036606,3.274619,8.8477,2021:12:23:14:30:57.301
6364,1640237457322,0.094621405,3.3518734,8.786615,2021:12:23:14:30:57.322
6365,1640237457340,-0.13115245,1.8552982,8.550661,2021:12:23:14:30:57.340
6366,1640237457355,-0.40543476,2.7068908,10.121495,2021:12:23:14:30:57.355
6367,1640237457375,-0.006587566,2.7739642,9.83823,2021:12:23:14:30:57.375
6368,1640237457395,0.56533295,3.69802,11.686941,2021:12:23:14:30:57.395
6369,1640237457420,0.18085863,5.329341,5.28742,2021:12:23:14:30:57.420
6370,1640237457439,-0.23236142,2.8368454,8.777034,2021:12:23:14:30:57.439
6371,1640237457457,-0.14073436,4.2417936,9.522027,2021:12:23:14:30:57.457
6372,1640237457476,0.23415802,3.895647,7.7535653,2021:12:23:14:30:57.476
6373,1640237457503,0.61384135,2.899128,12.474455,2021:12:23:14:30:57.503
6374,1640237457518,0.4359771,3.7219748,8.668638,2021:12:23:14:30:57.518
6375,1640237457539,0.8539881,4.0303926,5.443126,2021:12:23:14:30:57.539
6376,1640237457557,0.17187558,2.889546,6.3815546,2021:12:23:14:30:57.557
6377,1640237457579,0.19583037,4.823895,12.946363,2021:12:23:14:30:57.579
6378,1640237457602,0.33955908,2.7356365,9.012988,2021:12:23:14:30:57.602
6379,1640237457619,0.23415802,3.996257,11.149156,2021:12:23:14:30:57.619
6380,1640237457638,0.19103941,2.9715912,6.1030803,2021:12:23:14:30:57.638
6381,1640237457659,0.49825954,3.4572744,8.720739,2021:12:23:14:30:57.659
6382,1640237457677,0.16708463,4.203466,10.220309,2021:12:23:14:30:57.677
6383,1640237457703,0.49825954,3.1159186,13.035595,2021:12:23:14:30:57.703
6384,1640237457719,0.16708463,3.6357377,9.371711,2021:12:23:14:30:57.719
6385,1640237457742,0.6234233,3.0434556,7.3343563,2021:12:23:14:30:57.742
6386,1640237457757,0.93603325,6.137815,6.5091143,2021:12:23:14:30:57.757
6387,1640237457775,1.1522251,3.2842011,9.762773,2021:12:23:14:30:57.775
6388,1640237457794,1.1905528,5.353296,7.3433394,2021:12:23:14:30:57.794
6389,1640237457820,0.93603325,0.9551971,8.932739,2021:12:23:14:30:57.820
6390,1640237457835,1.2145076,2.8176816,7.414605,2021:12:23:14:30:57.835
6391,1640237457858,0.29224837,2.7548003,9.555564,2021:12:23:14:30:57.858
6392,1640237457875,-0.33776248,3.8375566,11.724669,2021:12:23:14:30:57.875
6393,1640237457903,-0.3138077,3.6213646,10.974885,2021:12:23:14:30:57.903
6394,1640237457919,-0.8324288,1.8115807,8.692593,2021:12:23:14:30:57.919
6395,1640237457938,-0.54916346,2.365535,8.763259,2021:12:23:14:30:57.938
6396,1640237457958,-0.21738967,3.7219748,11.050343,2021:12:23:14:30:57.958
6397,1640237457977,-0.3569263,5.680877,6.4049106,2021:12:23:14:30:57.977
6398,1640237458003,-0.2030168,3.596811,10.894636,2021:12:23:14:30:58.003
6399,1640237458018,-0.11138975,3.6644833,12.866116,2021:12:23:14:30:58.018
6400,1640237458038,-0.5779092,5.4497137,3.7171838,2021:12:23:14:30:58.038
6401,1640237458058,-1.0534117,4.7616124,1.55227,2021:12:23:14:30:58.058
6402,1640237458077,-1.7121683,3.3129468,6.947487,2021:12:23:14:30:58.077
6403,1640237458104,-0.81326497,2.5146537,14.139312,2021:12:23:14:30:58.104
6404,1640237458120,-1.4235132,1.9079987,8.239847,2021:12:23:14:30:58.120
6405,1640237458141,-1.4474679,3.3614552,10.937156,2021:12:23:14:30:58.141
6406,1640237458157,-1.6157503,0.4257963,16.455141,2021:12:23:14:30:58.157
6407,1640237458185,0.68151367,6.518097,11.031777,2021:12:23:14:30:58.185
6408,1640237458202,-1.0007112,3.8327656,-0.060485832,2021:12:23:14:30:58.202
6409,1640237458222,-0.1658869,1.9032077,11.918104,2021:12:23:14:30:58.222
6410,1640237458238,0.3964517,1.0468241,6.022832,2021:12:23:14:30:58.238
6411,1640237458256,-0.25691506,2.572145,8.008084,2021:12:23:14:30:58.256
6412,1640237458275,0.41082457,7.052289,9.003407,2021:12:23:14:30:58.275
6413,1640237458296,-1.203728,4.7520304,8.597971,2021:12:23:14:30:58.296
6414,1640237458319,0.0071864356,6.224651,5.061047,2021:12:23:14:30:58.319
6415,1640237458337,0.05030505,4.111839,12.163042,2021:12:23:14:30:58.337
6416,1640237458356,-0.3724969,6.79717,7.6499605,2021:12:23:14:30:58.356
