,timestamp,x,y,z,Time
23000,1648711411195,-1.4780103,0.6389939,16.956394,2022:03:31:16:23:31.195
23001,1648711411211,-0.48807874,4.753228,9.528615,2022:03:31:16:23:31.211
23002,1648711411234,1.616948,5.272448,10.141857,2022:03:31:16:23:31.234
23003,1648711411251,1.2516376,3.4345174,14.852566,2022:03:31:16:23:31.251
23004,1648711411274,-0.24314107,4.979002,11.306659,2022:03:31:16:23:31.274
23005,1648711411291,0.32398847,4.565183,8.816559,2022:03:31:16:23:31.291
23006,1648711411310,-0.23835011,5.6431484,7.2367406,2022:03:31:16:23:31.310
23007,1648711411332,-0.30063257,3.2326982,5.7132163,2022:03:31:16:23:31.332
23008,1648711411356,-0.0029943483,2.0295691,5.8970695,2022:03:31:16:23:31.356
23009,1648711411374,-0.37189806,0.6869035,8.741101,2022:03:31:16:23:31.374
23010,1648711411392,-0.04551409,5.975521,8.231463,2022:03:31:16:23:31.392
23011,1648711411414,0.07006775,7.4714975,6.807351,2022:03:31:16:23:31.414
23012,1648711411439,-0.6749261,1.8996145,9.769361,2022:03:31:16:23:31.439
23013,1648711411455,-0.49227083,5.4365387,10.773664,2022:03:31:16:23:31.455
23014,1648711411475,-1.2564285,6.7642326,8.641689,2022:03:31:16:23:31.475
23015,1648711411495,-0.64138937,3.2901897,10.759292,2022:03:31:16:23:31.495
23016,1648711411515,-0.059288096,1.2839766,11.164726,2022:03:31:16:23:31.515
23017,1648711411540,1.3630273,1.0576038,8.792604,2022:03:31:16:23:31.540
23018,1648711411556,1.7666655,0.4078302,9.481304,2022:03:31:16:23:31.556
23019,1648711411576,1.5552645,1.957106,9.443575,2022:03:31:16:23:31.576
23020,1648711411595,0.84919715,4.6184826,5.595239,2022:03:31:16:23:31.595
23021,1648711411618,0.7431972,3.5069807,10.36823,2022:03:31:16:23:31.618
23022,1648711411640,-0.3862709,4.247782,6.434854,2022:03:31:16:23:31.640
23023,1648711411657,-1.2797844,4.1130366,7.769735,2022:03:31:16:23:31.657
23024,1648711411675,-2.0637047,3.5261445,12.21215,2022:03:31:16:23:31.675
23025,1648711411697,-2.582326,4.5364375,11.669574,2022:03:31:16:23:31.697
23026,1648711411718,-2.4817157,5.5569115,10.471834,2022:03:31:16:23:31.718
23027,1648711411740,-0.70307297,5.917431,9.245948,2022:03:31:16:23:31.740
23028,1648711411757,0.9743609,4.579556,9.669948,2022:03:31:16:23:31.757
23029,1648711411777,1.3103268,4.305274,6.821724,2022:03:31:16:23:31.777
23030,1648711411799,-0.14133324,1.942733,8.580605,2022:03:31:16:23:31.799
23031,1648711411824,-1.1408466,3.275817,9.712468,2022:03:31:16:23:31.824
23032,1648711411841,-1.6450949,4.4400196,5.1335106,2022:03:31:16:23:31.841
23033,1648711411862,-0.27548003,2.9440432,6.9397016,2022:03:31:16:23:31.862
23034,1648711411878,-0.26110715,3.0446532,10.886851,2022:03:31:16:23:31.878
23035,1648711411904,-0.6743272,5.1718383,9.302242,2022:03:31:16:23:31.904
23036,1648711411917,-0.50604486,4.680765,9.915484,2022:03:31:16:23:31.917
23037,1648711411941,-0.078451924,3.2949808,9.707677,2022:03:31:16:23:31.941
23038,1648711411958,-0.799491,2.6937156,11.028184,2022:03:31:16:23:31.958
23039,1648711411979,-0.59288096,2.6308343,10.919789,2022:03:31:16:23:31.979
23040,1648711411999,-0.6551634,3.2231164,6.4396453,2022:03:31:16:23:31.999
23041,1648711412025,-0.3329715,2.5733428,4.8742,2022:03:31:16:23:32.025
23042,1648711412040,-0.24194333,1.9816597,6.5432496,2022:03:31:16:23:32.040
23043,1648711412060,-0.016169481,1.1731856,13.065538,2022:03:31:16:23:32.060
23044,1648711412078,-1.0827563,4.0411725,9.278886,2022:03:31:16:23:32.078
23045,1648711412106,-0.26110715,6.1773405,8.22248,2022:03:31:16:23:32.106
23046,1648711412121,0.45993188,3.4201446,8.759666,2022:03:31:16:23:32.121
23047,1648711412142,-0.092824794,3.2949808,8.311711,2022:03:31:16:23:32.142
23048,1648711412160,-0.8713553,3.7471273,10.363439,2022:03:31:16:23:32.160
23049,1648711412183,-1.0540105,5.316166,12.103754,2022:03:31:16:23:32.183
23050,1648711412201,-0.7414006,4.8059287,9.750196,2022:03:31:16:23:32.201
23051,1648711412224,-0.47250813,4.2046638,5.015533,2022:03:31:16:23:32.224
23052,1648711412241,0.4024404,2.9871616,3.2943819,2022:03:31:16:23:32.241
23053,1648711412264,-0.121570535,2.2559419,9.736423,2022:03:31:16:23:32.264
23054,1648711412281,0.9072875,5.999476,10.117903,2022:03:31:16:23:32.281
23055,1648711412304,-0.2269716,3.0787888,10.901224,2022:03:31:16:23:32.304
23056,1648711412323,-0.50604486,3.5021896,7.6613393,2022:03:31:16:23:32.323
23057,1648711412342,0.50784147,3.9112177,7.156492,2022:03:31:16:23:32.342
23058,1648711412364,-0.5539544,3.9399633,10.165214,2022:03:31:16:23:32.364
